service_name|service_ip|service_open_port|service_selector|pod_name|pod_ip|ec2-internal-ip|pod_ports_for_service
kafka-producer-proxy-messaging-client-service|10.3.201.44|4678/TCP|app=kafka-producer-proxy|kafka-producer-proxy-5c67f8d7d7-tv644|10.2.236.22|ip-10.20.9.44.ec2.internal|10.2.236.22:4678
kafka-producer-proxy-service|10.3.175.206|5678/TCP|app=kafka-producer-proxy|kafka-producer-proxy-5c67f8d7d7-tv644|10.2.236.22|ip-10.20.9.44.ec2.internal|10.2.236.22:5678
kafka-test-shard-kafka-bootstrap|10.3.132.131|9091/TCP,9092/TCP,9093/TCP|strimzi.io/cluster=kafka-test-shard,strimzi.io/kind=Kafka,strimzi.io/name=kafka-test-shard-kafka|kafka-test-shard-kafka-0|10.2.30.72|ip-10.20.10.74.ec2.internal|10.2.30.72:9093,10.2.30.72:9092,10.2.30.72:9091
kafka-test-shard-kafka-brokers|None|9090/TCP,9091/TCP,9092/TCP,9093/TCP|strimzi.io/cluster=kafka-test-shard,strimzi.io/kind=Kafka,strimzi.io/name=kafka-test-shard-kafka|kafka-test-shard-kafka-0|10.2.30.72|ip-10.20.10.74.ec2.internal|10.2.30.72:9093,10.2.30.72:9092,10.2.30.72:9090
kafka-test-shard-zookeeper-client|10.3.62.145|2181/TCP|strimzi.io/cluster=kafka-test-shard,strimzi.io/kind=Kafka,strimzi.io/name=kafka-test-shard-zookeeper|kafka-test-shard-zookeeper-0|10.2.30.65|ip-10.20.10.74.ec2.internal|10.2.30.65:2181
kafka-test-shard-zookeeper-nodes|None|2181/TCP,2888/TCP,3888/TCP|strimzi.io/cluster=kafka-test-shard,strimzi.io/kind=Kafka,strimzi.io/name=kafka-test-shard-zookeeper|kafka-test-shard-zookeeper-0|10.2.30.65|ip-10.20.10.74.ec2.internal|10.2.30.65:2888,10.2.30.65:3888,10.2.30.65:2181
key-manager-service|10.3.199.147|31002/TCP|app=key-manager|key-manager-594cb6458b-cxb42|10.2.61.253|ip-10.20.11.150.ec2.internal|10.2.61.253:31002
lakeview-config-service|10.3.46.158|5678/TCP|app=lakeview-config|lakeview-config-5c9d8f57f7-q4f8q|10.2.179.14|ip-10.20.9.223.ec2.internal|10.2.179.14:5678
lakeview-query-service|10.3.23.191|5678/TCP|app=lakeview-query|lakeview-query-6f59dd4c7-484gq|10.2.152.173|ip-10.20.10.162.ec2.internal|10.2.152.173:5678
legacy-handlers-service|10.3.64.34|5678/TCP|app=legacy-handlers|legacy-handlers-55df96d6f6-h8dtr|10.2.236.23|ip-10.20.9.44.ec2.internal|10.2.236.23:5678
maintenance-auto-compute-service|10.3.163.125|5678/TCP|app=maintenance-auto-compute|maintenance-auto-compute-54579ddccd-wbkwn|10.2.211.124|ip-10.20.11.81.ec2.internal|10.2.211.124:5678
managed-catalog-messaging-client-service|10.3.243.201|4678/TCP|app=managed-catalog|managed-catalog-b5685957-sk28b|10.2.191.189|ip-10.20.9.181.ec2.internal|10.2.191.189:4678
managed-catalog-service|10.3.241.242|15213/TCP,443/TCP|app=managed-catalog|managed-catalog-b5685957-sk28b|10.2.191.189|ip-10.20.9.181.ec2.internal|10.2.191.189:15213,10.2.191.189:15213
manager-messaging-client-service|10.3.96.153|4678/TCP|app=cons-manager|cons-manager-0|10.2.12.190|ip-10.20.11.183.ec2.internal|10.2.12.190:4678
marketplace-metadata-service|10.3.131.2|443/TCP|app=marketplace-metadata|marketplace-metadata-7dc7b7d5b7-69z4h|10.2.152.174|ip-10.20.10.162.ec2.internal|10.2.152.174:443
marketplace-service|10.3.130.24|23333/TCP,13333/TCP|app=marketplace|marketplace-7f7778d65c-kbwdw|10.2.12.185|ip-10.20.11.183.ec2.internal|10.2.12.185:23333,10.2.12.185:13333
metadata-lineage-api-server-external-svc|10.3.60.212|443/TCP|app=metadata-lineage-api-server|metadata-lineage-api-server-6d9b8c485f-x5qgn|10.2.191.190|ip-10.20.9.181.ec2.internal|10.2.191.190:5678
metadata-lineage-api-server-messaging-client-service|10.3.126.254|4678/TCP|app=metadata-lineage-api-server|metadata-lineage-api-server-6d9b8c485f-x5qgn|10.2.191.190|ip-10.20.9.181.ec2.internal|10.2.191.190:4678
metadata-lineage-api-server-service|10.3.193.123|5678/TCP|app=metadata-lineage-api-server|metadata-lineage-api-server-6d9b8c485f-x5qgn|10.2.191.190|ip-10.20.9.181.ec2.internal|10.2.191.190:5678
mlflow-service|10.3.57.173|30003/TCP,30004/TCP|app=mlflow|mlflow-64c5cd6db-d6qfg|10.2.152.175|ip-10.20.10.162.ec2.internal|10.2.152.175:30004,10.2.152.175:30003
model-serving-api-service|10.3.177.104|5678/TCP|app=model-serving-api|model-serving-api-5b7d659b6f-l6rw2|10.2.64.44|ip-10.20.8.172.ec2.internal|10.2.64.44:5678
model-serving-proxy-service|10.3.239.186|34522/TCP|app=model-serving-proxy|model-serving-proxy-667ccdb58f-pvrsl|10.2.179.15|ip-10.20.9.223.ec2.internal|10.2.179.15:34522
onboarding-service|10.3.173.184|443/TCP|app=onboarding|onboarding-7b89897895-p2sds|10.2.61.254|ip-10.20.11.150.ec2.internal|10.2.61.254:443
partnerhub-service|10.3.66.49|1453/TCP,5678/TCP|app=partnerhub|partnerhub-bb8d7f7fb-6t2fz|10.2.98.206|ip-10.20.11.193.ec2.internal|10.2.98.206:1453,10.2.98.206:5678
ratelimit-v2-headless|None|1081/TCP|app=ratelimit-v2|ratelimit-v2-66655f9546-xpznl|10.2.236.25|ip-10.20.9.44.ec2.internal|10.2.236.25:1081
redash-async-service|10.3.123.238|5001/TCP|app=redash-async|redash-async-d5b464c6-trj5r|10.2.236.26|ip-10.20.9.44.ec2.internal|10.2.236.26:5001
redash-jobs-service|10.3.188.142|5001/TCP|app=redash-jobs|redash-jobs-7bcbd49999-dwq9p|10.2.191.191|ip-10.20.9.181.ec2.internal|10.2.191.191:5001
redash-service|10.3.21.217|5001/TCP|app=redash|redash-b6777b664-bsnkp|10.2.61.255|ip-10.20.11.150.ec2.internal|10.2.61.255:5001
redash-v2-service|10.3.47.200|5678/TCP|app=redash-v2|redash-v2-679b79c457-4zx4q|10.2.61.202|ip-10.20.11.150.ec2.internal|10.2.61.202:5678
release-test-service-service|10.3.189.174|5678/TCP|app=release-test-service|release-test-service-848f74484d-z84tm|10.2.98.215|ip-10.20.11.193.ec2.internal|10.2.98.215:5678
route-discovery-service-service|10.3.138.232|11000/TCP|app=route-discovery-service|route-discovery-service-7f455df6c9-k7stz|10.2.211.126|ip-10.20.11.81.ec2.internal|10.2.211.126:11000
secret-manager-service|10.3.44.116|30002/TCP|app=secret-manager|secret-manager-78c675f8cd-ncz7x|10.2.12.186|ip-10.20.11.183.ec2.internal|10.2.12.186:30002
